player_name,team,games_vs_bottom16,rushing_yards_vs_bottom16,rushing_attempts_vs_bottom16,rushing_td_vs_bottom16,receiving_yards_vs_bottom16,receiving_receptions_vs_bottom16,rushing_avg_vs_bottom16
Bijan Robinson,atl,8,801.0,140.0,5.0,388.0,32,5.72
James Cook III,buf,7,757.0,124.0,7.0,113.0,17,6.1
De'Von Achane,mia,8,739.0,139.0,4.0,220.0,36,5.32
Jonathan Taylor,ind,5,693.0,100.0,9.0,120.0,15,6.93
Javonte Williams,dal,8,677.0,126.0,5.0,84.0,23,5.37
Rico Dowdle,car,8,659.0,131.0,3.0,184.0,18,5.03
D'Andre Swift,chi,8,658.0,126.0,3.0,195.0,17,5.22
Jahmyr Gibbs,det,7,640.0,97.0,7.0,260.0,32,6.6
Derrick Henry,bal,6,558.0,109.0,7.0,92.0,8,5.12
Josh Jacobs,gb,7,519.0,121.0,9.0,177.0,19,4.29
Christian McCaffrey,sf,6,512.0,119.0,6.0,372.0,40,4.3
Breece Hall,nyj,7,506.0,102.0,3.0,192.0,21,4.96
Kyren Williams,lar,5,396.0,88.0,3.0,69.0,6,4.5
Saquon Barkley,phi,6,390.0,85.0,2.0,107.0,18,4.59
Quinshon Judkins,cle,5,389.0,97.0,3.0,38.0,6,4.01
Kenneth Walker III,sea,6,355.0,84.0,2.0,111.0,11,4.23
TreVeyon Henderson,ne,9,348.0,89.0,3.0,153.0,22,3.91
Jaylen Warren,pit,5,329.0,65.0,2.0,67.0,10,5.06
Travis Etienne Jr.,jax,4,328.0,57.0,0.0,74.0,9,5.75
Kimani Vidal,lac,5,289.0,57.0,1.0,25.0,5,5.07
Ashton Jeanty,lv,4,283.0,67.0,2.0,55.0,10,4.22
Alvin Kamara,no,6,264.0,70.0,1.0,79.0,18,3.77
Kareem Hunt,kc,6,246.0,65.0,3.0,56.0,6,3.78
Bucky Irving,tb,4,227.0,71.0,1.0,163.0,15,3.2
RJ Harvey,den,7,225.0,50.0,4.0,112.0,17,4.5
Woody Marks,hou,4,211.0,58.0,1.0,52.0,6,3.64
Chase Brown,cin,4,191.0,48.0,1.0,159.0,22,3.98
Aaron Jones Sr.,min,4,163.0,38.0,1.0,77.0,9,4.29
Tyrone Tracy Jr.,nyg,5,155.0,43.0,0.0,61.0,9,3.6
Chris Rodriguez Jr.,wsh,4,150.0,25.0,1.0,6.0,1,6.0
Tony Pollard,ten,1,67.0,14.0,1.0,11.0,3,4.79
Bam Knight,ari,3,38.0,13.0,1.0,33.0,3,2.92
