team,player_name,player_id,depth_rank
nyg,Tyrone Tracy Jr.,4360516,RB1
cin,Chase Brown,4362238,RB1
buf,James Cook III,4379399,RB1
mia,De'Von Achane,4429160,RB1
chi,D'Andre Swift,4259545,RB1
wsh,Chris Rodriguez Jr.,4362619,RB1
atl,Bijan Robinson,4430807,RB1
ten,Tony Pollard,3916148,RB1
min,Aaron Jones Sr.,3042519,RB1
nyj,Breece Hall,4427366,RB1
car,Rico Dowdle,4038815,RB1
dal,Javonte Williams,4361579,RB1
no,Alvin Kamara,3054850,RB1
bal,Derrick Henry,3043078,RB1
phi,Saquon Barkley,3929630,RB1
ari,Bam Knight,4427728,RB1
lac,Kimani Vidal,4430968,RB1
sf,Christian McCaffrey,3117251,RB1
pit,Jaylen Warren,4569987,RB1
lv,Ashton Jeanty,4890973,RB1
lar,Kyren Williams,4430737,RB1
cle,Quinshon Judkins,4685702,RB1
det,Jahmyr Gibbs,4429795,RB1
kc,Kareem Hunt,3059915,RB1
tb,Bucky Irving,4596448,RB1
ind,Jonathan Taylor,4242335,RB1
gb,Josh Jacobs,4047365,RB1
ne,TreVeyon Henderson,4432710,RB1
hou,Woody Marks,4429059,RB1
sea,Kenneth Walker III,4567048,RB1
den,RJ Harvey,4568490,RB1
jax,Travis Etienne Jr.,4239996,RB1
